Country,Date Start,Keywords
Hong Kong,2020-03-11,public mask and hygiene supply
Hong Kong,2020-03-13,"international traveller screening - risk countries, outbound travel warning"
Hong Kong,2020-02-24,"encouraging symptomatic people to seek tests, international traveller screening - risk countries, outbound travel warning, public mask encouragement"
Hong Kong,2020-02-28,"encouraging symptomatic people to seek tests, international traveller screening - risk countries, public mask encouragement"
Hong Kong,2020-03-08,"international traveller screening - all countries, source tracing"
Hong Kong,2020-03-10,outbound travel warning
Hong Kong,2020-03-20,"compulsory isolation, international traveller quarantine - all countries"
Hong Kong,2020-02-07,very large event cancellation or postponement
Hong Kong,2019-12-30,international traveller quarantine - risk countries
Taiwan,2019-12-31,coronavirus education activities
Taiwan,2019-12-31,"coronavirus education activities, encouraging symptomatic people to seek tests, international traveller screening - risk countries"
Taiwan,2020-03-20,testing numbers total
Taiwan,2020-03-23,compulsory isolation
Taiwan,2020-01-24,public mask and hygiene supply
Taiwan,2020-03-14,international traveller quarantine - risk countries
Taiwan,2020-02-17,"testing, testing criteria"
Taiwan,2020-01-05,international traveller screening - risk countries
Taiwan,2020-02-01,international traveller quarantine - risk countries
Taiwan,2019-12-30,international traveller screening - all countries
Macau,2019-12-30,international traveller screening - all countries
China,2019-12-18,first case
China,2019-12-25,"compulsory isolation, confirmed case isolation"
China,2019-12-30,"case reporting, research, source tracing"
China,2020-01-01,limited nonessential business suspension
China,2020-01-15,case reporting
China,2020-01-20,"special management arrangements, task group"
China,2020-01-20,first case
China,2020-01-03,"contacts traced total, research"
China,2020-02-01,"deregulation, economic incentives"
China,2020-02-01,waste water treatment
China,2020-02-01,"social distancing, weddings canceled"
United States,2020-01-07,outbound travel warning
China,2020-02-01,"blanket isolation - no symptoms, compulsory isolation"
China,2020-02-01,"general nonessential business suspension, school closure, university closure"
China,2020-02-01,"general nonessential business suspension, school closure, university closure"
China,2020-02-01,"hospital construction, hospital specialisation, treatment capacity"
China,2020-01-08,public announcement
China,2020-02-01,economic stimulus
China,2020-02-01,limited nonessential business suspension
China,2020-02-01,limited nonessential business suspension
China,2020-02-01,"funeral hygiene, hygiene enforcement, public hygiene"
China,2020-02-01,event cancellation - other
China,2020-02-02,speculative treatment
China,2020-02-02,"blanket isolation - no symptoms, compulsory isolation"
China,2020-02-02,"hospital construction, hospital specialisation"
China,2020-02-02,public hygiene
China,2020-02-02,"deregulation, economic incentives"
China,2020-02-02,"compulsory isolation, contact isolation - no symptoms"
China,2020-02-02,international aid
China,2020-02-02,manufacturing capacity
